data,player,language,publishedAt,predicted_cluster,topic
munchner gehen verfolger liga gipfel borussia dortmund joshua kimmich brachte munchner fuhrung argentinische weltmeister drehte spiel zwei verwandelten foulelfmetern schiedsrichter tobias stieler gefoulten adli wegen vermeintlicher schwalben jeweils zunachst gelb gegeben beide male nahm karte videostudium zuruck  dicht europacup platzen dran zuvor union berlin duell woche internationalen geschaft gescheiterten mannschaften anspruch champions league platze untermauert oberosterreicher oliver glasner trainierte frankfurter eintracht kletterten berliner nunmehr punkten dritten platz distanzierten sechsten platz liegenden hessen zahlern halten,exequiel palacios,de,2023-03-19T18:22:00Z,6,Game description
bayern nicht mehr tabellenfuhrer fussball bundesliga  liegt schiedsrichter tobias stieler zweimal komplett daneben zweimal videoassistenten korrigiert zweimal jubelt  kurz darauf fur munchner dritte pleite saison  drehte spiel minute foulelfmeter verwandelte schiedsrichter tobias stieler benotigte beiden strafstossen kraftige unterstutzung video assistenten stieler gab beiden fallen adli zunachst gelb wegen vermeintlichen schwalbe nahm karten jeweils zuruck gravierende fehleinschatzungen  var korrektur wohl sieg gebracht  begann stark schwungvoll fcb keeper yann sommer aufmerksam direkt aufs tor gezogenen ecke demirbay parierte frimpong unmittelbar davor verfehlte diaby distanz knapp besser geht zeigten bayern flanke joao cancelo legte leon goretzka kimmich elf metern muhelos verwandelte gegentreffer nahm  schwung uberzeugung anfangsphase beide teams neutralisierten weitgehend,exequiel palacios,de,2023-03-19T18:28:09Z,6,Game description
riesenfreude   schlug bayern argentinier einziger aktueller weltmeister bundesliga drehte spiel zwei foulelfmetern kurios schiedsrichter tobias stieler beiden aktionen benjamin pavard dayot upamecano gefoulten adli wegen vermeintlicher schwalben zunachst gelb xagegeben  drucker bevor munchner erste chance gab weitere chancen diaby frimpong uberraschender jeweils ecken torschusse minuten uber prozent ballbesitz gastgeber nichts schlug serienmeister eiskalt leon goretzka legte fur kimmich schuss odilon kossounou unhaltbar latte xaabfalschte bereits kimmichs vierter saisontreffer mehr lediglich saison sechs standige gesang fans schuss tor bayern somit absolut passend standen bayern kompakter bekamen mehr spielkontrolle nahmen leverkusenern wind segeln allerdings pause weitere gelegenheit erarbeiten nagelsmann trotzdem nicht wirklich zufrieden signalisierte dreifach wechsel pause neben musiala gnabry kam kinsgley coman thomas muller sadio mane joao cancelo blieben xakabine,exequiel palacios,de,2023-03-19T18:28:23Z,6,Game description
sonntagspartien fussball bundesliga spieltags uberblick joshua kimmich nationalmannschaft abwesenheit manuel neuer kommenden woche kapitan anfuhren munchner fuhrung gebracht argentinier einziger aktueller weltmeister bundesliga drehte spiel zwei foulelfmetern kurios schiedsrichter tobias stieler beiden aktionen benjamin pavard dayot upamecano gefoulten adli wegen vermeintlicher schwalben zunachst gelb gegeben beide male nahm karte videostudium zuruck beide male entschuldigte adli beide male zeigte verspatung punkt  europaleague einziger bundesligist neben munchnern viertelfinale europacup wettbewerbs steht baute verdienten sieg serie sieben pflichtspiele niederlage dicht dran europacup platzen trainer alonso team hervorragend eingestellt setzte zeichen bayern bosse ehemalige mittelfeld stratege fur bayern spielte munchen moglicher trainer zukunft beobachtet  drucker bevor munchner erste chance gab weitere chancen diaby frimpong uberraschender jeweils ecken torschusse minuten uber prozent ballbesitz gastgeber nichts schlug serienmeister eiskalt leon goretzka legte fur kimmich schuss odilon kossounou unhaltbar latte abfalschte bereits kimmichs vierter saisontreffer mehr lediglich saison sechs nagelsmann nicht wirklich zufrieden signalisierte dreifach wechsel pause neben musiala gnabry kam kinsgley coman thomas muller sadio mane joao cancelo blieben kabine tor fiel verstarkten bayern offensiv bemuhungen musiala verzog tollem solo doppelpass gnabry knapp folgte nachste elfmeter ruckstand druckten gaste ausgleich  keeper hradecky lief hochstform,exequiel palacios,de,2023-03-19T18:35:00Z,6,Game description
"ausgerechnet topspiel bvb patzt munchen zwei skurrile elfmeter situationen sorgen fur entscheidung kimmich nationalmannschaft abwesenheit manuel neuer kommenden woche kapitan anfuhren munchner fuhrung gebracht argentinier einziger aktueller weltmeister bundesliga drehte spiel zwei foulelfmetern  hradecky kossounou andrich tapsoba frimpong fosu mensah demirbay hincapie diaby tah wirtz hlozek adli bakker munchen sommer pavard stanisic upamecano ligt joao cancelo gnabry kimmich davies sane goretzka tel muller musiala mane coman schiedsrichter stieler zuschauer ausverkauft tore kimmich foulelfmeter foulelfmeter  europaleague einziger bundesligist neben munchnern viertelfinale europacup wettbewerbs steht baute verdienten sieg serie sieben pflichtspiele niederlage dicht dran europacup platzen ,,wir aggressiv viele zweikampfe gewonnen"" lobte defensivspieler andrich trainer alonso team hervorragend eingestellt setzte zeichen bayern bosse ehemalige mittelfeld stratege fur bayern spielte munchen moglicher trainer zukunft beobachtet ,,wir top energie gespielt"" lobte alonso kurioserweise bayern englische woche knochen nagelsmann wechselte trotzdem zweimal thomas muller leon goretzka ersetzten beginn serge gnabry jamal musiala",exequiel palacios,de,2023-03-19T18:38:59Z,4,International Football News
warum sehe faz net nicht nicht ergebnis beobachter uberrascht mag seltenheitswert beiden treffer werkself zweimal zeigte schiedsrichter tobias stieler adli gelbe karten glaubte franzose mittels schwalben fouls strafraum vorgetauscht zweimal griff videoassistent korrigierend gab jeweils elfmeter ezequiel verwandelte erstaunlichen sieg moglich machten borussia dortmund erstmals seit spieltages tabellenspitze steht gluck spiel ergebnis unverdient sieg fur werkself keinesfalls mannschaft alonso insgesamt niveauvoll fussball gespielt wahrend bayern vielen phasen matt wirkten stunde rheinlander meist ball agierten mutig chancen zweikampf traf benjamin pavard fuss adli verursachte strafstoss fuhrte bevor dayot upamecano gleiche missgeschick passierte zweiten elfmetertreffer schiessen konnte schlussphase uberlegenheit munchner erdruckend  torhuter lukas hradecky abwehr hielten tatsachlich stand mehr thema,exequiel palacios,de,2023-03-19T18:39:29Z,6,Game description
"bayern geht zwei kuriosen elfmeter entscheidungen tabellenzweiter bundesliga hit borussia dortmund april munchner verloren halbzeit fuhrung verdient  punkt ruckstand bvb tag zuvor koln gewonnen joshua kimmich nationalmannschaft abwesenheit manuel neuer kommenden woche kapitan anfuhren munchner fuhrung gebracht argentinier einziger aktueller weltmeister bundesliga drehte spiel zwei foulelfmetern kurios schiedsrichter tobias stieler beiden aktionen benjamin pavard dayot upamecano gefoulten adli wegen vermeintlicher schwalben zunachst gelb gegeben beide male nahm karte videostudium zuruck beide male entschuldigte adli beide male zeigte verspatung punkt  europaleague einziger bundesligist neben munchnern viertelfinale europacup wettbewerbs steht baute verdienten sieg serie sieben pflichtspiele niederlage dicht dran europacup platzen trainer alonso team hervorragend eingestellt setzte zeichen bayern bosse ehemalige mittelfeld stratege fur bayern spielte munchen moglicher trainer zukunft beobachtet  drucker bevor munchner erste chance gab weitere chancen diaby frimpong uberraschender jeweils ecken torschusse minuten uber prozent ballbesitz gastgeber nichts schlug serienmeister eiskalt leon goretzka legte fur kimmich schuss odilon kossounou unhaltbar latte abfalschte bereits kimmichs vierter saisontreffer mehr lediglich saison sechs standige gesang fans ,,ein schuss tor bayern"" somit absolut passend standen bayern kompakter bekamen mehr spielkontrolle nahmen leverkusenern wind segeln allerdings pause weitere gelegenheit erarbeiten",exequiel palacios,de,2023-03-19T19:02:39Z,6,Game description
bayern munchen tabellenfuhrung deutschen bundesliga borussia dortmund verloren rekordmeister verlor sonntag zwei kuriose elfmeter videobeweis  team trainer julian nagelsmann dritten saisonniederlage punkt ruckstand dortmund samstag koln gewonnen gehen bayern verfolger duell borussia april joshua kimmich brachte munchner fuhrung argentinische weltmeister drehte spiel zwei verwandelten foulelfmetern schiedsrichter tobias stieler gefoulten adli wegen vermeintlicher schwalben jeweils zunachst gelbe karte gegeben beide male nahm karte videostudium zuruck  dicht europacup platzen dran tabellendritter union berlin heimsieg eintracht frankfurt leipzig vorbei rang vier schob freiburg mainz tore elfmeter elfmeter bzw kimmich  pentz ersatzbayern wanner,exequiel palacios,de,2023-03-19T19:14:59Z,2,Bundesliga News
adli verspricht schiedsrichter trikot duplizitat ereignisse  bayern zweiten halfte bot zweimal drang adli munchner strafraum kam fall sah zweimal gelbe karte leverkusener offensivspieler nicht gelb rot platz flog lag var team soren storks meldete namlich feld schiedsrichter tobias stieler chance bekam ursprungliche entscheidung korrigieren gab jeweils elfmeter fur werkself beide sicher endstand verwandelte beide entscheidungen standen zwei extremen sagte stieler partie dazn weiterspielen kam fur nie betracht begrundete referee entscheidung adli wegen vermeintlichen schwalben verwarnen situation sehe kontakt nicht sehe fallen total atypisch deshalb schwalbe entschieden review area erkannte stieler benjamin pavard adli hacke getreten atypische fallen ausgelost,exequiel palacios,de,2023-03-19T20:00:00Z,6,Game description
nix stieler lag zwei entscheidenden situationen maximal daneben zweimal referee hamburg liga sonntagsspiel  bayern munchen machtig geirrt zweimal bezichtigte leverkusener adli schwalbe bayern strafraum zweimal verhangte fur vermeintlichen tauschungsversuch voller uberzeugung gelbe karte zweimal kleinlaut zurucknehmen entschuldigung bitten foulelfmeter fur  geben zweimal verwandelte wurde uberraschender sieg leverkusener adli nicht nachtragend ganz gegenteil geherzt wahrend spiel verriet stieler trikot versprochen sehen ankommt,exequiel palacios,de,2023-03-19T20:01:45Z,3,Bundesliga News
verwenden cookies angebot fur verbessern mehr informationen finden unserer datenschutzerklarung lag einfach uberaus kuriosen art weise  spiel ruckstand sieg gedreht xadenn zweimal quasi identische szene ereignet hauptbeteiligten  offensivmann adli schiedsrichter tobias stieler video assistant referee var xaund hauptdarsteller var festspiele  amin adli schiedsrichter tobias stieler,exequiel palacios,de,2023-03-19T20:12:00Z,6,Game description
alonso alonsos kniff andrich zuvor werkself guten beginn hingelegt liess ruckstand nicht hangen gegenteil wiederbeginn  aktiver gaste munchen drehte zwei verwandelte var elfmeter partie zuschauern hexenkessel selten erlebt schwarmte hradecky unterstutzung rangen naturlich geholfen bayern nicht besten tag erwischt tag umso besser freute keeper verteilte ausdrucklich lob verdient teil sieg mittagsschlaf handy nachricht trainer heute spielst libero,exequiel palacios,de,2023-03-19T22:08:00Z,1,Other
content videobeweis beitragen wurde jahrelang scheintote spannung bundesliga wiederzubeleben wer hatt gedacht genau sonntag bayarena bestaunen schreiben spielminute xatopspiel werkself xaund rekordmeister xaleverkusens xaamine adli fallt xaim strafraum xader munchner xaschiedsrichter tobias stieler wittert allerdings oscarreife schauspieleinlage zeigt fachgerecht gelb xaausgerechnet kolner keller beweist jedoch unschuld jahrigen xastieler nimmt entscheidung samt verwarnung zuruck spricht leverkusener strafstoss xaargentinische weltmeister lasst nicht nehmen trifft schreiben spielminute xatopspiel werkself xaund rekordmeister xaleverkusens xaamine adli fallt xaim strafraum munchner xaschiedsrichter tobias stieler wittert allerdings oscarreife schauspieleinlage zeigt fachgerecht gelb xaausgerechnet kolner keller beweist jedoch unschuld jahrigen xastieler nimmt entscheidung samt verwarnung zuruck spricht leverkusener strafstoss xaargentinische weltmeister lasst nicht nehmen trifft sorge werter leser sehen nicht doppelt genauso tatsachlich passiert zweimal vermeintliche schwalbe zweimal videobeweis zweimal elfmeter xadas vielleicht nicht gerade wunder bern zumindest kurios genug fur xastern xades spieltags xain dortmund durften beommeln bvb startet neue woche spitzenreiter sollten ergebnisse platzen xanoch nachlesen geht entlang kolner diesmal davon abraten,exequiel palacios,de,2023-03-20T05:11:00Z,3,Bundesliga News
borussia dortmund sagt schiri boss gluck entscheidung all schelte video assistenten immer langst nicht immer recht einstecken mussen bot sonntagliche spiel   bayern munchen deutlichen kuriosen kontrast zweimal nahm schiedsrichter tobias stieler schwalbe adli strafraum bayern wahr verwarnte deshalb jeweils beide male intervenierte var soren storks jedoch vollig recht adli klar gefoult worden stieler nahm folgerichtig beiden fallen gelbe karte zuruck bat adli per handschlag entschuldigung sprach leverkusenern strafstoss sicher verwandelte var hausherren partie womoglich verloren adli gelb rot feld verlassen mussen unparteiischen ware welle kritik entgegengeschlagen einverstanden leverkusener ohnehin referee ebenfalls lebensretter nannte kollegen erkennbar erleichtert interview senders dazn sogar bayern trainer julian nagelsmann hielt fest generell freund var sagte coach heute zwei elfmeter demnach sinne gerechtigkeit daher bitter fair,exequiel palacios,de,2023-03-20T05:39:04Z,6,Game description
bayern argert uber beiden elfmeterszenen spiel rechnerisch ungunsten bayern drehte kommentierte unisono fair beide male gute sicht daher fur relativ schnell ersichtlich beides elfmeter sagte nagelsmann gleich gedacht adli ferse getroffen wurde zweiten wusste schwalbe fall nicht schiedsrichter stieler beiden fallen  adli zunachst gelb gegeben beide male nahm zuruck entschuldigte gab elfmeter  sieg sicherte uber videobeweis gecheckt denke zweimal klar sagte torschutze joshua kimmich nagelsmann zog versohnlich strich thematik generell freund var sagte coach heute zwei elfmeter demnach sinne gerechtigkeit daher bitter fair,exequiel palacios,de,2023-03-20T05:55:43Z,2,Bundesliga News
"wurde video assistenten nicht geben bayern sonntag wohl  gewonnen  adli gelb rot gesehen endet spiel fur  stieler beiden fallen  adli zunachst gelb gegeben beide male nahm zuruck entschuldigte gab elfmeter  sieg sicherte unparteiische nachher erleichtert ,,ich wurde gerettet spiel wurde gerettet"" sagte ,,denn zwei fehlentscheidungen stehen geblieben daher nehme heute humor ebenso sah adli stieler trikot versprach ,,heute froh var eingegriffen hat"" sagte franzose wahrend entscheidungs findung sei ,,naturlich angespannt nervos"" ,,aber einfach glucklich entscheidung adli ausgetretenen schuh gezeigt anschliessend vehement rasen gepfeffert gluck nicht voreilig gelb rot sehen",exequiel palacios,de,2023-03-20T07:29:11Z,6,Game description
"warum sehe faz net nicht stieler beiden fallen  adli zunachst gelb gegeben beide male nahm zuruck bat entschuldigung gab elfmeter  sieg sicherte unparteiische nachher erleichtert ,,der var immer kritisiert gut quasi lebensretter fur spiel lebensretter"" sagte ,,denn zwei fehlentscheidungen stehen geblieben daher nehme heute humor ebenso sah adli stieler trikot versprach ,,heute froh var eingegriffen hat"" sagte franzose wahrend entscheidungs findung sei ,,naturlich angespannt nervos"" ,,aber einfach glucklich entscheidung adli ausgetretenen schuh gezeigt anschliessend vehement rasen gepfeffert gluck nicht voreilig gelb rot sehen",exequiel palacios,de,2023-03-20T07:48:37Z,6,Game description
"protest schlechter nicht altern konnen ausgerechnet leverkusener fans wahrend partie bayern grosses banner aufschrift ,,videobeweis abschaffen"" gezeigt grossen profiteure technischen hilfsmittel zweimal regelhuter kolner keller verantwortender position soren storks gemeldet zweimal korrigierte schiedsrichter tobias stieler entscheidung zurecht zugunsten ",exequiel palacios,de,2023-03-20T09:29:34Z,3,Bundesliga News
"dazn experte michael ballack gesprach julian nagelsmann moderatorin laura wontorra trainer alonso weltmeister ,,da sieht jungs fit marschieren drei tage spielen konnen spricht fur trainings belastung trainings steuerung gerade schweren internationalen gang draufzusetzen spricht fur leverkusener naturlich fur trainer"" schwarmte dazn experte michael ballack alonsos team",exequiel palacios,de,2023-03-20T13:16:11Z,1,Other
"trifft fur  bayern einzige aktuelle weltmeister bundesliga verdammt eilig bayern wurde uberraschenden elfer helden ,,ich glucklich beide tore schiessen konnte wichtiger sieg fur fans genauso mussen weitermachen trainer gesagt schiessen woche viele elfmeter trainiert freue verwandelt wusste ruhig bleiben wichtige momente druck nerven behalten kuhlen kopf bewahrt gluck gutgegangen alonso gibt elfmeter schutzen anweisungen warum fiel wahl plotzlich trainer alonso ,,wir fur europaleague spielern elfmeter geubt vertrauen pala training gut gemacht letzten zwei monaten gut gespielt selbstvertrauen manchmal wichtigste elfer doppel stellte klub rekord zuvor sturm idolen ulf kirsten stuttgart dimitar berbatov lautern gelungen zwei strafstosse bundesliga spiel fur  verwandeln gewinn erhofften schub gegeben seit wochen uberragenden form ,,wir viele spiele beinen bundesliga europaleague gluck konnten viele siege einfahren"" blickt mittelfeld abraumer letzten wochen zuruck ,,jetzt geht argentinien zeit freunden familie verbringen freue nationalelf  uber bayern alonso alonsos meisterstuck trainer",exequiel palacios,de,2023-03-20T13:56:19Z,1,Other
schalke reis nimmt spieler ausdrucklich schutz rollenverteilung klar tom krauss pflicht alleiniger sechser wirtz beschatten wahrend alex kral andrich drexler kummern sollten pause wurde drexler ausgewechselt wochenlangen ausfall nicht ungewohnlich klar tank nicht komplett voll sagte drexler anschliessend fur kam eder balanta spiel trainer thomas reis hielt ursprunglichen rollenverteilung fest heisst krauss blieb alleinunterhalter sechserposition neben kral fungierte balanta achter weiterhin passe leverkusener schnellen aussenbahnspieler unterbinden,exequiel palacios,de,2023-04-03T08:12:20Z,3,Bundesliga News
funf scorerpunkte marz folgerichtig guerreiro wahl spieler monats potm marz bundesliga frimpong beide   omar marmoush vfl wolfsburg marius bulter schalke erhan masovic vfl bochum durchgesetzt viele fans aufgrund ausblicks enormes tempo eher frimpong gewunscht guerreiros potm karte ebenfalls starken grundattributen stechen dribbling pass hervor einzig physis verhindert aufnahme sogenannte gullit gang gruppe spielern deren sechs hauptwerte fut allesamt mindestens punkte betragen genaueren spezialkarte wissen vornehmlich beweglichkeit balance kurzpasse uberzeugen,exequiel palacios,de,2023-04-07T13:44:53Z,4,International Football News
lasst gegner schlecht aussehen macht mitspieler besser  teenager wirtz zweiter rechts danach wirtz mehrfach knapp dran lupenreinen assist hattrick entweder verdaddelten mitspieler gute ideen kevin trapp lenkte kaum haltbaren ball adli neben pfosten wirtz gerne ubersehen schafft spiel kollegen sicherheit geben frankfurt fielen verteidiger edmond tapsoba tah erfolgreich frankfurter sturmer randal kolo muani konzentrierten torschutze adli sturmer zeigten inspiriert wirtz wirbel xakonnen nicht mehr nennenswerte aspekte wirtz darbietung gab lag darum ging treffen wirkte weniger zielstrebig trapp minute weitere parade ermoglichte dennoch sah lange osterspaziergang fur werksklub frankfurter kraft vermissen liessen vergangenen saison international furchteinflossend gemacht xahatte,exequiel palacios,de,2023-04-08T19:43:08Z,6,Game description
"warum sehe faz net nicht jungsten sieben pflichtspiele leverkusener gewonnen liga sprangen alonso sechsten platz spieler schwarmen coach ,,chapeau macht richtig gute arbeit"" sagte kapitan lukas hradecky einziger aktueller weltmeister liga schwarmte fast ehrfurchtig ,,von alonso lerne tag umgekehrt fuhlt baske rund halben jahr rheinland ,,sehr wohl zufrieden"" bundesliga sei ,,super fur mich"" sagte alonso ,,ich geniesse spiel alonso bayern deutschland kam bewunderung fur guardiola tun ,,pep zeit voraus"" schwarmte damals heute sagt ,,er einfluss fur trainer froh arbeiten durfte guardiola erklarte umgekehrt damals ,,ich wette trainer immer gut",exequiel palacios,de,2023-04-13T12:41:39Z,1,Other
hincapie tah bedanken fur fan unterstutzung argentinier spielte gewohnt bissig jedoch akzente vorne setzen konnen pause angeschlagen raus note bakker einziger neuer spieler startelf niederlander brauchte anlaufzeit steigerte zweiten halfte deutlich top flanken frimpong azmoun plus tore verdient note demirbay fur zuruck kader leichten knie problemen schalke spiel nahm standards versuchte immer distanz note sardar azmoun fur adli vier minuten einwechslung schien spiel fur vorbei iraner offenbar vertreten zentralen sturmer anderte statik  wurde immer gefahrlicher starke vorlage wirtz sekunden schluss fehlten zentimeter bakkers flanke note,exequiel palacios,de,2023-04-14T08:16:22Z,6,Game description
saint gilloise angeschlagen kabine bleiben verwunderte wechsel  viertelfinal hinspiel europaleague royale union saint gillioise blieb pause kabine fur argentinischen weltmeister letzten wochen uberragender form kam demirbay spiel ubernahm position neben andrich doppel sechs wechsel leistungsgrunden taktische veranderung mittelfeldabraumer angeschlagen bereitet  sorgen nachsten bundesliga partie sonntag uhr live dazn spielen derzeit unklar,exequiel palacios,de,2023-04-14T08:19:57Z,7,Europa League
 bangt saint gilles weltmeister dank spaten wirtz ruckspiel union saint gilloise duell  belgiern donnerstag null beginnen minuten viertelfinales belegen mannschaft alonso brutal schweren aufgabe steht wirtz hielt  spur  optimum waagschale werfen mussen weiterzukommen  dabei andrichs kollegen doppelsechs zuruckgreifen offen weltmeister halbzeit angeschlagen raus hintere oberschenkelmuskulatur meldete pala ungutes gefuhl nicht gerissen mussen abwarten erklarte alonso einsatz zuletzt formstarken konnte zuletzt ruckspiel entscheidendes detail darstellen ausgangsposition gegenuber hinspiel nicht verandert offen weiss trainer genauso hunger mehr formulierte fernando carro positiv selbstvertrauen sagte geschaftsfuhrer lust mehr wobei lust leiden mentale starke nicht linie verlieren  konterstarken defensivmonster union saint gilloise aufbringen seit europaisches halbfinale erreichen,exequiel palacios,de,2023-04-14T11:21:14Z,1,Other
 trainer steht wolfsburg partie spagat durfte trainer keinerlei risiko eingehen bestehen grossten zweifel sagte alonso freitag uber mittelfeldspieler halbzeit uber oberschenkelprobleme geklagt deswegen ausgewechselt worden xafur argentinier durfte demirbay beginnen part weltmeisters saint gilles zweiten halfte zufriedenstellend ubernahm wechsel konnte nicht belastungsgrunden erfolgen nachdem sardar azmoun zuletzt joker schalke frankfurt torschutze gestochen bereitete belgier ausgleich ebenfalls defensivstarke wolfsburger konnte iraner startelfplatz adli erhalten richtiger mittelsturmer hilfreich belgier sardar guten einfluss spiel nicht saint gilles lobt alonso bisherige falsche neun wirtz azmoun positionieren konnte flo position gut spielen sturmer,exequiel palacios,de,2023-04-14T14:38:38Z,0,Europa League
verletzte leicht hinspiel saint gilloise funf wechsel  trainer alonso bundesliga wolfsburg gegenuber europaleague saint gilloise vorgenommen startelf fehlen wurde erwarten argentinische weltmeister belgier vergangenen donnerstag wegen problemen hinteren oberschenkelmuskulatur pause raus wolfsburg spiel reichte fur seit wochen starken nicht wurde saint gilloise ordentlich demirbay doppel sechs vertreten freche szene dfb kollegen aktion macht wirtz stehen einsatz chancen euro ruckspiel brussel klar scheint bereits alonso kampf ums halbfinal ticket rotieren,exequiel palacios,de,2023-04-17T06:50:19Z,0,Europa League
"seit elf pflichtspielen alonso  ungeschlagen  rotieren wirtz kehrt startelf zuruck hoffnung besteht einsatz oberschenkel kapitan lukas hradecky dabei  viertelfinale erreichte ,,geister turnier"" dusseldorf inter mailand scheiterte",exequiel palacios,de,2023-04-17T12:40:43Z,5,Player Performance
 ruckspiel brussel voraussichtlich weltmeister viertelfinal hinspiel union saint gilloise halbzeit verletzt ausgewechselt scheint  sechser wettlauf zeit ruckspiel europaleague donnerstag verloren viertelfinal hinspiel union saint gilloise verletzt imago laci perenyi eigentlich entscheidung bereits gefallen donnerstag viertelfinal ruckspiel brussel  startaufstellung steht gut ausgeschlossen schliesslich konnte argentinische mittelfeldspieler donnerstag vergangener woche hinspiel belgische uberraschungsmannschaft hinteren oberschenkelmuskulatur verletzt dienstag nicht mannschaft trainieren bestatigung fur ausfall dienstag niemand  erteilen zumindest fur startelf durfte fehlen dienstagstraining fur argentinischen weltmeister bedeuten dabei trainer alonso sonntag vfl wolfsburg konkrete hoffnungen einsatz sechsers formuliert mussen warten fraglich mittwoch donnerstag fuhlt tag besser optimistisch mussen bisschen abwarten spanier erklart heutigen mittwoch erfolgreichen trainingsversuch unternehmen ware startelfeinsatz stand heraus hohes risiko jahrige nicht topfit wiedereingliederung leichteren muskelverletzung  regelfall nicht knall fall erfolgt gefahr zuletzt topform aufspielende aggressive techniker schwerer verletzt ware gegeben prasentierte demirbay zuletzt guter vertreter hinspiel erledigte aufgabe zweiten halfte ordentlich sonntag wolfsburg gehorte besten  setzte dabei offensivakzent  brussel gut gebrauchen konnte werksklub hofft kommenden wochen europaleague genauso liga sonntag leipzig wichtige punkte fur ticket fur internationalen wettbewerb geht entscheidenden spielen stehen ware einsatz lotto park brussel womoglich kurz gedacht allzu riskanter zug nicht alonso alonsos herangehensweise fallen passen wurde,exequiel palacios,de,2023-04-19T06:59:11Z,1,Other
